timestamp,open,high,low,close,volume,currency_volume,extra_0,extra_1
2022-12-02 16:00:00,1.1123,1.1253,1.0963,1.1028,638674.9764,708662.868,708662.868,1
2022-12-03 16:00:00,1.1046,1.1114,1.0839,1.0933,516849.2348,566042.7676,566042.7676,1
2022-12-04 16:00:00,1.0933,1.1394,1.0842,1.0848,840765.7805,936784.98,936784.98,1
2022-12-05 16:00:00,1.0845,1.0917,1.0588,1.0669,698817.064,750682.3645,750682.3645,1
2022-12-06 16:00:00,1.0671,1.0692,1.0069,1.0328,730926.9135,758644.4086,758644.4086,1
2022-12-07 16:00:00,1.0335,1.0335,0.9988,1.0278,656127.1331,664568.6194,664568.6194,1
2022-12-08 16:00:00,1.0272,1.0616,1.0246,1.0418,660714.6406,691530.2664,691530.2664,1
2022-12-09 16:00:00,1.0406,1.0496,1.031,1.0439,334785.3659,348276.2533,348276.2533,1
2022-12-10 16:00:00,1.0453,1.0467,1.0226,1.0327,343491.6952,354327.8162,354327.8162,1
2022-12-11 16:00:00,1.0332,1.0503,0.991,1.0135,569097.9211,576854.4091,576854.4091,1
2022-12-12 16:00:00,1.0143,1.1355,1.0089,1.1003,1360005.0546,1440218.5319,1440218.5319,1
2022-12-13 16:00:00,1.1013,1.1626,1.0851,1.1497,1179731.974,1334270.3234,1334270.3234,1
2022-12-14 16:00:00,1.1497,1.1638,1.1065,1.1457,1112136.1739,1256382.9987,1256382.9987,1
2022-12-15 16:00:00,1.1473,1.1582,1.0525,1.0811,1788465.1764,1993833.1496,1993833.1496,1
2022-12-16 16:00:00,1.0802,1.0803,0.9823,0.9883,1258076.608,1279267.1193,1279267.1193,1
2022-12-17 16:00:00,0.9887,1.0046,0.9619,0.9939,582877.5703,573411.6095,573411.6095,1
2022-12-18 16:00:00,1.005,1.005,0.9629,0.9835,561209.1647,552346.2206,552346.2206,1
2022-12-19 16:00:00,0.9812,1.004,0.9386,0.9889,884040.7862,868592.3905,868592.3905,1
2022-12-20 16:00:00,0.9901,0.9943,0.937,0.9493,721497.7606,697891.1997,697891.1997,1
2022-12-21 16:00:00,0.9493,0.9502,0.8799,0.88,1058244.7158,967168.9404,967168.9404,1
2022-12-22 16:00:00,0.88,0.9321,0.8755,0.9246,1311610.5354,1179335.0443,1179335.0443,1
2022-12-23 16:00:00,0.9231,0.9567,0.9191,0.9393,1384253.0526,1294021.1548,1294021.1548,1
2022-12-24 16:00:00,0.9392,0.9724,0.9345,0.9675,1057904.2135,1013675.6814,1013675.6814,1
2022-12-25 16:00:00,0.9676,1.0608,0.9611,1.0373,1367129.3268,1354553.0125,1354553.0125,1
2022-12-26 16:00:00,1.0383,1.1025,1.0157,1.0361,1838872.296,1940405.7164,1940405.7164,1
2022-12-27 16:00:00,1.035,1.0443,0.9356,0.9624,2442916.7263,2405650.2918,2405650.2918,1
2022-12-28 16:00:00,0.9625,0.9784,0.9329,0.9589,1586649.0895,1512940.8943,1512940.8943,1
2022-12-29 16:00:00,0.9591,0.9748,0.943,0.9573,1544041.4142,1476827.0876,1476827.0876,1
2022-12-30 16:00:00,0.9572,0.9695,0.947,0.9579,844249.0538,810360.7434,810360.7434,1
2022-12-31 16:00:00,0.9606,1.0326,0.9457,1.0252,1987019.2082,1977955.2615,1977955.2615,1
2023-01-01 16:00:00,1.0289,1.2648,1.0234,1.2173,4231792.0473,4688244.6802,4688244.6802,1
2023-01-02 16:00:00,1.2195,1.3092,1.192,1.2216,3254735.7497,4009671.996,4009671.996,1
2023-01-03 16:00:00,1.2174,1.4481,1.1737,1.4164,3341326.5582,4327993.3882,4327993.3882,1
2023-01-04 16:00:00,1.4187,1.45,1.3278,1.3547,3065271.7404,4219948.1719,4219948.1719,1
2023-01-05 16:00:00,1.353,1.3798,1.2584,1.3724,2443046.6006,3228603.0531,3228603.0531,1
2023-01-06 16:00:00,1.3713,1.5724,1.3691,1.4933,3026303.0124,4509120.4335,4509120.4335,1
2023-01-07 16:00:00,1.4936,1.7,1.4688,1.6465,2391429.6542,3721446.5108,3721446.5108,1
2023-01-08 16:00:00,1.6437,2.636,1.5995,1.8918,4642386.7956,8860350.3627,8860350.3627,1
2023-01-09 16:00:00,1.8961,2.15,1.85,1.993,3855922.2837,7631984.8458,7631984.8458,1
2023-01-10 16:00:00,1.993,1.9991,1.7725,1.7908,2906283.3247,5481599.2949,5481599.2949,1
2023-01-11 16:00:00,1.7903,2.0127,1.737,1.925,4726268.1843,8780140.604,8780140.604,1
2023-01-12 16:00:00,1.9238,2.2259,1.8942,2.0129,4171501.0079,8399101.57,8399101.57,1
2023-01-13 16:00:00,2.0145,2.388,1.9557,2.1737,3972006.7955,8561964.1954,8561964.1954,1
2023-01-14 16:00:00,2.1736,2.4654,2.0623,2.416,4277287.187,9492044.554,9492044.554,1
2023-01-15 16:00:00,2.4139,2.4147,2.0477,2.1166,4264503.4493,9351699.6956,9351699.6956,1
2023-01-16 16:00:00,2.1166,2.1616,2.0191,2.0404,3401968.4414,7141194.4598,7141194.4598,1
2023-01-17 16:00:00,2.0415,2.2001,1.92,2.0222,3781434.6565,7845146.9818,7845146.9818,1
2023-01-18 16:00:00,2.0208,2.1107,1.8643,1.9175,3488244.3057,6879396.9946,6879396.9946,1
2023-01-19 16:00:00,1.9164,2.0673,1.9014,2.0469,3077497.449,6094680.2007,6094680.2007,1
2023-01-20 16:00:00,2.0438,2.3868,2.0238,2.1813,4565665.6269,10326593.7368,10326593.7368,1
2023-01-21 16:00:00,2.1838,2.55,2.1578,2.2797,5392205.2251,12549128.0507,12549128.0507,1
2023-01-22 16:00:00,2.2785,2.6783,2.1288,2.6202,4276845.514,10092033.7382,10092033.7382,1
2023-01-23 16:00:00,2.62,2.835,2.4337,2.6973,3946353.1529,10243853.6619,10243853.6619,1
2023-01-24 16:00:00,2.6975,2.7,2.24,2.3821,7219053.0249,17082184.4791,17082184.4791,1
2023-01-25 16:00:00,2.3814,2.5934,2.3183,2.3301,3756959.7449,9232764.7217,9232764.7217,1
2023-01-26 16:00:00,2.3301,2.3936,2.2242,2.3391,3570813.9603,8185280.3912,8185280.3912,1
2023-01-27 16:00:00,2.3425,2.4594,2.2338,2.2801,3311675.1539,7818718.0954,7818718.0954,1
2023-01-28 16:00:00,2.2799,2.3533,2.2015,2.3128,2885153.1966,6552981.9991,6552981.9991,1
2023-01-29 16:00:00,2.3113,2.3505,2.0908,2.1331,3904268.8097,8674477.0421,8674477.0421,1
2023-01-30 16:00:00,2.1337,2.1498,1.9777,2.12,3660527.9832,7586882.5622,7586882.5622,1
2023-01-31 16:00:00,2.12,2.2586,2.0886,2.101,3566819.2933,7752385.3269,7752385.3269,1
2023-02-01 16:00:00,2.1019,2.45,2.058,2.3172,5361991.3823,12320423.9302,12320423.9302,1
2023-02-02 16:00:00,2.3187,2.5278,2.1625,2.3516,6279189.0986,14420273.8106,14420273.8106,1
2023-02-03 16:00:00,2.3516,2.4019,2.225,2.2909,4184714.0316,9687777.9428,9687777.9428,1
2023-02-04 16:00:00,2.2909,2.36,1.912,2.0446,5575353.5021,12058151.5271,12058151.5271,1
2023-02-05 16:00:00,2.0452,2.2133,1.9663,2.207,3053350.3807,6377507.1667,6377507.1667,1
2023-02-06 16:00:00,2.2067,2.6499,2.1664,2.5122,7114740.7986,16924750.2223,16924750.2223,1
2023-02-07 16:00:00,2.5109,2.7136,2.4146,2.4303,8839482.8368,22678481.5303,22678481.5303,1
2023-02-08 16:00:00,2.4302,2.99,2.3,2.4948,16131779.8795,42835622.0592,42835622.0592,1
2023-02-09 16:00:00,2.4915,2.8482,2.3016,2.4248,17072029.5641,43661996.1429,43661996.1429,1
2023-02-10 16:00:00,2.4221,2.4515,2.2094,2.3368,7483977.9008,17204273.4063,17204273.4063,1
2023-02-11 16:00:00,2.3361,2.57,2.2556,2.5287,7338248.6928,17988186.7197,17988186.7197,1
2023-02-12 16:00:00,2.5299,2.6487,2.2063,2.2531,9102956.2971,21972371.8287,21972371.8287,1
2023-02-13 16:00:00,2.2544,2.6713,2.209,2.6152,8689467.4896,20808373.6686,20808373.6686,1
2023-02-14 16:00:00,2.6165,2.8,2.5122,2.7501,7458281.0305,19552710.9971,19552710.9971,1
2023-02-15 16:00:00,2.7466,2.9455,2.68,2.898,9973130.4289,27852299.8913,27852299.8913,1
